ID,Question,Ideal_Answer,Chatbot_Answer,Status,Result,Notes
TEST_011,Phở Bát Đàn có gì đặc biệt?,Phở Bát Đàn (phố Bát Đàn) là quán phở bò gia truyền nổi tiếng. Đặc trưng là khách hàng phải tự xếp hàng (self-service) để gọi món.,"Chào bạn, tôi rất vui được chia sẻ về **Phở Bát Đàn**, một trong những địa chỉ ẩm thực nổi tiếng nhất Hà Nội!

Điểm đặc biệt của Phở Bát Đàn nằm ở những yếu tố sau:

1.  **Tính Gia Truyền và Lịch Sử:** Đây là một trong những quán phở gia truyền lâu đời nhất tại Hà Nội, mang đậm dấu ấn ẩm thực truyền thống.
2.  **Quy Trình Phục Vụ Độc Đáo:** Điểm khác biệt lớn nhất là quy trình phục vụ theo kiểu ""self-service"". Khách hàng sẽ phải xếp hàng dài để đến quầy, gọi món và tự mang bát phở của mình ra bàn.
3.  **Nước Dùng:** Nước dùng của Phở Bát Đàn được đánh giá là trong, ngọt thanh tự nhiên, không quá béo, thể hiện sự tinh tế trong cách ninh xương truyền thống.
4.  **Chỉ Bán Phở Bò:** Quán chủ yếu tập trung vào phở bò, giữ nguyên hương vị cổ điển mà không bán thêm các món phụ khác.

Phở Bát Đàn nằm trên phố Bát Đàn, là một trải nghiệm ẩm thực mà du khách đến Hà Nội không nên bỏ qua!",SUCCESS,,
TEST_012,Ăn Cà phê trứng ở đâu ngon?,Hai quán Cà phê trứng nổi tiếng nhất là Cà phê Giảng (phố Nguyễn Hữu Huân) và Cà phê Đinh (phố Đinh Tiên Hoàng).,"Chào bạn, **Cà phê trứng (Egg Coffee)** là một thức uống đặc sản tuyệt vời của Hà Nội!

Dựa trên kinh nghiệm ẩm thực tại Hà Nội, hai địa chỉ nổi tiếng và được đánh giá cao nhất để thưởng thức món này là:

1.  **Cà phê Giảng:**
    *   Đây là quán cà phê trứng nguyên bản và nổi tiếng nhất, được coi là nơi khai sinh ra món đồ uống này.
    *   Quán nằm trên phố Nguyễn Hữu Huân.
    *   Cà phê trứng ở đây có lớp kem trứng béo ngậy, mịn màng và hương vị cà phê đậm đà.

2.  **Cà phê Đinh:**
    *   Quán nằm ở tầng 2, số 13 Đinh Tiên Hoàng, có view nhìn thẳng ra Hồ Gươm rất đẹp.
    *   Lớp kem trứng tại đây cũng rất đặc trưng, mang lại trải nghiệm thưởng thức khác biệt so với Cà phê Giảng.

Ngoài ra, bạn cũng có thể tìm thấy cà phê trứng ở nhiều quán cà phê sách trong khu vực Phố Cổ như Tranquil Books & Coffee hoặc các quán cà phê khác có phục vụ đặc sản Hà Nội.

Chúc bạn có một ly cà phê trứng thật ngon miệng!",SUCCESS,,
TEST_013,Cà phê trứng là gì?,"Đây là đặc sản Hà Nội, gồm lòng đỏ trứng gà đánh bông với sữa đặc, phủ lên trên ly cà phê đen, tạo vị béo ngậy.","Chào bạn, tôi rất sẵn lòng giải thích về **Cà phê trứng (Egg Coffee)**!

Cà phê trứng là một thức uống đặc sản nổi tiếng và độc đáo của Hà Nội.

**Định nghĩa và Thành phần:**

Cà phê trứng là sự kết hợp giữa cà phê đen đậm đặc và một lớp kem trứng béo ngậy, mịn màng được phủ lên trên.

*   **Lớp Kem Trứng:** Được làm từ lòng đỏ trứng gà tươi được đánh bông kỹ lưỡng với sữa đặc có đường (và đôi khi thêm một chút phô mai hoặc bơ) cho đến khi tạo thành một hỗn hợp sánh mịn, có màu vàng nhạt và hương vị ngọt ngào, thơm béo.
*   **Cà Phê:** Phía dưới là lớp cà phê đen truyền thống của Việt Nam, thường là cà phê Robusta được pha phin, có vị đắng đậm.

Khi uống, bạn sẽ cảm nhận được sự hòa quyện tuyệt vời giữa vị đắng mạnh mẽ của cà phê và vị ngọt, béo ngậy tan chảy của lớp kem trứng.

Như tôi đã đề cập trước đó, hai địa chỉ nổi tiếng nhất để thưởng thức món này là **Cà phê Giảng** và **Cà phê Đinh**.",SUCCESS,,
TEST_014,Chả cá Lã Vọng làm từ cá gì?,"Món này được làm từ cá lăng (hoặc cá quả), tẩm ướp, nướng rồi chiên lại trong chảo mỡ khi ăn.","Chào bạn, tôi rất vui được chia sẻ thông tin về món **Chả cá Lã Vọng** nổi tiếng của Hà Nội!

Theo thông tin về ẩm thực đặc sắc của Hà Nội, **Chả cá Lã Vọng** được làm từ thịt cá lăng (hoặc đôi khi là cá quả).

Món ăn này có quy trình chế biến rất đặc trưng:

1.  **Nguyên liệu chính:** Cá được lọc thịt, tẩm ướp gia vị kỹ lưỡng.
2.  **Chế biến:** Cá được nướng sơ trên than hoa, sau đó được chiên lại trong chảo mỡ nóng ngay tại bàn ăn.
3.  **Thưởng thức:** Món này ăn nóng cùng với bún rối, lạc rang, thì là, hành hoa và linh hồn của món ăn là mắm tôm pha chua ngọt.

Đây là một trải nghiệm ẩm thực rất độc đáo khi đến Hà Nội!",SUCCESS,,
TEST_015,Nên đi Hà Nội mùa nào đẹp nhất?,"Thời điểm tốt nhất để du lịch Hà Nội là vào mùa thu (từ tháng 9 đến tháng 11), vì thời tiết lúc này mát mẻ, khô ráo và ít mưa.","Chào bạn, tôi rất sẵn lòng gợi ý về thời điểm lý tưởng nhất để du lịch Hà Nội!

Dựa trên kinh nghiệm du lịch Hà Nội, **thời điểm đẹp nhất để ghé thăm thủ đô là vào mùa thu (từ tháng 9 đến tháng 11)**.

Lý do là:

1.  **Thời tiết lý tưởng:** Mùa thu Hà Nội có thời tiết mát mẻ, khô ráo và ít mưa nhất trong năm. Bầu trời thường trong xanh, rất thuận lợi cho việc tham quan các địa điểm ngoài trời.
2.  **Cảnh quan đặc trưng:** Đây là mùa hoa sữa nở rộ, mang lại hương thơm đặc trưng cho các con phố, đặc biệt là khu vực xung quanh Hồ Gươm và Hồ Tây.

**Lựa chọn khác:**

*   **Mùa Đông (Tháng 12 đến Tháng 2):** Cũng là một lựa chọn tốt nếu bạn thích không khí se lạnh, đặc biệt là khi kết hợp với việc thưởng thức các món ăn nóng như phở, bún chả, hoặc cà phê trứng. Tuy nhiên, mùa đông có thể có những ngày mưa phùn ẩm ướt.

Tóm lại, nếu bạn muốn trải nghiệm Hà Nội với thời tiết dễ chịu nhất, hãy lên kế hoạch vào **mùa thu** nhé!",SUCCESS,,
TEST_016,Từ sân bay Nội Bài về trung tâm Hà Nội đi bằng gì?,"Bạn có thể đi taxi (khoảng 250-300k), xe buýt công cộng (tuyến 86 về Hồ Gươm), hoặc đặt xe công nghệ như Grab.","Chào bạn, tôi rất sẵn lòng cung cấp thông tin về cách di chuyển từ **Sân bay Nội Bài (HAN)** về trung tâm Hà Nội!

Dựa trên kinh nghiệm du lịch Hà Nội, bạn có các lựa chọn di chuyển sau:

1.  **Xe buýt công cộng:**
    *   Đây là lựa chọn tiết kiệm chi phí.
    *   Tuyến **86** là tuyến chất lượng cao, đi thẳng từ sân bay về khu vực trung tâm như Hồ Gươm.

2.  **Taxi:**
    *   Đây là phương tiện tiện lợi nhất, đưa bạn đến tận nơi.
    *   Chi phí di chuyển bằng taxi thường dao động khoảng **250.000 - 300.000 VNĐ** (tùy thuộc vào hãng và tình hình giao thông).

3.  **Xe công nghệ (Grab/Be):**
    *   Bạn có thể đặt xe qua các ứng dụng công nghệ. Đây là lựa chọn linh hoạt và giá cả thường minh bạch.

Sân bay Nội Bài cách trung tâm thành phố Hà Nội khoảng 30km. Chúc bạn có chuyến đi thuận lợi!",SUCCESS,,
TEST_017,Phố đi bộ Hà Nội hoạt động khi nào?,Phố đi bộ quanh Hồ Gươm hoạt động từ 19:00 thứ Sáu đến 24:00 Chủ Nhật hàng tuần.,"Chào bạn, tôi rất sẵn lòng cung cấp thông tin về **Phố đi bộ Hà Nội**!

Khu vực phố đi bộ quanh Hồ Gươm (Khu vực Phố Cổ) hoạt động vào các khung giờ sau:

*   **Thời gian hoạt động:** Từ **19:00 (7 giờ tối) Thứ Sáu** cho đến **24:00 (12 giờ đêm) Chủ Nhật** hàng tuần.
*   **Lưu ý quan trọng:** Trong khoảng thời gian này, các phương tiện cơ giới (ô tô, xe máy) sẽ bị cấm lưu thông trong khu vực này để nhường chỗ cho người đi bộ.

Đây là thời điểm tuyệt vời để bạn dạo bộ, thưởng thức không khí náo nhiệt, tham gia các hoạt động văn hóa đường phố và khám phá các quán cà phê xung quanh Hồ Gươm.

Chúc bạn có những trải nghiệm thú vị tại Phố đi bộ Hà Nội!",SUCCESS,,
TEST_018,Times City có gì chơi?,"Times City (Minh Khai) có Thủy cung Vinpearl Aquarium, khu vui chơi trẻ em VinKE, rạp chiếu phim CGV và khu ẩm thực lớn.","Chào bạn, tôi rất sẵn lòng gợi ý về những hoạt động vui chơi tại **Vincom Mega Mall Times City** ở Hà Nội!

Times City là một tổ hợp thương mại và giải trí lớn, có rất nhiều điểm hấp dẫn để bạn khám phá:

1.  **Thủy cung Vinpearl Aquarium:** Đây là điểm nhấn nổi bật nhất. Bạn sẽ được chiêm ngưỡng thế giới đại dương qua đường hầm kính hiện đại, nơi có hàng ngàn sinh vật biển đa dạng.

2.  **Khu vui chơi giáo dục VinKE:** Nếu bạn đi cùng trẻ em, VinKE là nơi lý tưởng. Đây là khu vui chơi hướng nghiệp, giúp các bé trải nghiệm các ngành nghề khác nhau trong môi trường mô phỏng.

3.  **Mua sắm và Ẩm thực:** Times City quy tụ rất nhiều thương hiệu thời trang, mỹ phẩm và có một khu ẩm thực (food court) khổng lồ với đa dạng các món ăn từ Việt Nam đến quốc tế.

4.  **Rạp chiếu phim CGV:** Nếu bạn muốn thư giãn với những bộ phim mới nhất.

Tóm lại, Times City là một địa điểm tuyệt vời cho cả gia đình hoặc nhóm bạn muốn kết hợp mua sắm, ăn uống và giải trí dưới một mái nhà.",SUCCESS,,
TEST_019,Mình muốn đi trượt băng ở Hà Nội thì đi đâu?,Bạn có thể đến Sân trượt băng Vincom Ice Rink tại Vincom Mega Mall Royal City (đường Nguyễn Trãi).,"Chào bạn, tôi rất sẵn lòng gợi ý địa điểm để bạn trải nghiệm **trượt băng tại Hà Nội**!

Hoạt động trượt băng trong nhà lớn nhất và nổi tiếng nhất ở Hà Nội hiện nay nằm tại **Trung tâm thương mại Vincom Mega Mall Royal City**.

Thông tin chi tiết về địa điểm này:

1.  **Địa điểm:** **Sân trượt băng Vincom Ice Rink** tại **Vincom Mega Mall Royal City** (Quận Thanh Xuân).
2.  **Đặc điểm:** Đây là một trong những sân trượt băng trong nhà lớn nhất Việt Nam, được thiết kế theo phong cách châu Âu hoàng gia, rất đẹp và hiện đại.
3.  **Trải nghiệm:** Bạn có thể thuê giày và tham gia trượt băng giải trí. Khu vực Royal City cũng có nhiều lựa chọn mua sắm và ẩm thực khác sau khi trượt băng.

Bạn nên kiểm tra giờ mở cửa cụ thể của sân trượt băng trên trang web chính thức của Royal City trước khi đến để đảm bảo lịch trình của mình nhé!",SUCCESS,,
TEST_020,Ở Lotte Center có gì hay?,"Lotte Center (Liễu Giai) có Đài quan sát Lotte ở tầng 65, nơi bạn có thể ngắm toàn cảnh 360 độ Hà Nội và trải nghiệm Sky Walk (sàn kính trong suốt).","Chào bạn, tôi rất sẵn lòng gợi ý về những điều thú vị bạn có thể trải nghiệm tại **Lotte Center Hà Nội**!

Lotte Center là một tổ hợp cao tầng hiện đại, nổi bật với các hoạt động ngắm cảnh và mua sắm:

1.  **Đài quan sát Lotte (Lotte Observation Deck):** Nằm ở **Tầng 65**, đây là điểm thu hút chính. Từ đây, bạn có thể chiêm ngưỡng toàn cảnh 360 độ của thành phố Hà Nội, một trải nghiệm tuyệt vời để ngắm hoàng hôn hoặc cảnh đêm.

2.  **Sky Walk:** Nếu bạn thích cảm giác mạnh, hãy thử trải nghiệm Sky Walk. Đây là một sàn kính trong suốt cho phép bạn nhìn thẳng xuống mặt đất từ độ cao hàng trăm mét.

3.  **Mua sắm và Ẩm thực:** Tòa nhà quy tụ nhiều thương hiệu quốc tế và khu ẩm thực đa dạng. Bạn có thể tìm thấy các cửa hàng bán lẻ, siêu thị và nhiều lựa chọn ăn uống khác nhau.

4.  **Các tiện ích khác:** Ngoài ra, Lotte Center còn có rạp chiếu phim và các dịch vụ giải trí khác.

Nếu bạn muốn ngắm nhìn Hà Nội từ trên cao, Lotte Center là một lựa chọn rất đáng cân nhắc!",SUCCESS,,
