ID,Question,Ideal_Answer
TEST_021,"Tòa nhà cao nhất Hà Nội (Keangnam) có gì?","Tòa nhà Keangnam (Landmark 72) có Đài quan sát Sky 72, bảo tàng tranh 3D Artlink và phòng chiếu phim 5D."
TEST_022,"Gợi ý một quán cafe rooftop (sân thượng) ở Hà Nội?","Bạn có thể tham khảo Trill Rooftop (Hei Tower), Top of Hanoi (Lotte Hotel), hoặc Sam Rooftop Cafe."
TEST_023,"Gợi ý quán cafe chill ở Hồ Tây?","Khu vực Hồ Tây có nhiều quán view đẹp như The DOM Cafe (có vườn hoa, nhạc acoustic), Bonjour Cafe, hoặc Santorini Vibes."
TEST_024,"Phố Tạ Hiện nổi tiếng về cái gì?","Phố Tạ Hiện được mệnh danh là ""con phố không ngủ"", là phố bia sầm uất nơi giới trẻ và du khách tụ tập uống bia và ăn đồ nhắm vỉa hè."
TEST_025,"Phố Sách Hà Nội ở đâu?","Phố Sách chính thức của Hà Nội nằm ở đường 19 Tháng 12 (nối Lý Thường Kiệt và Hai Bà Trưng). Ngoài ra còn có phố sách cũ ở Đường Láng và khu bán sách ở Đinh Lễ."
TEST_026,"Đến làng gốm Bát Tràng thì làm gì?","Đến Bát Tràng, bạn có thể tham quan chợ gốm, tự tay thử nặn gốm, tham quan làng cổ, hoặc check-in tại Bảo tàng Gốm Bát Tràng."
TEST_027,"Bảo tàng Gốm Bát Tràng có gì hay?","Bảo tàng Gốm Bát Tràng có kiến trúc rất độc đáo (lấy cảm hứng từ bàn chuốt gốm) và là nơi trưng bày các tác phẩm gốm nghệ thuật."
TEST_028,"Tràng Tiền Plaza bán gì?","Tràng Tiền Plaza (gần Hồ Gươm) là trung tâm thương mại sang trọng, chủ yếu bán các thương hiệu cao cấp quốc tế như Chanel, Dior, Louis Vuitton."
TEST_029,"Tôi có thể tự làm gốm ở đâu?","Bạn có thể trải nghiệm tự tay nặn gốm (chuốt, nặn) tại các xưởng nhỏ ở Làng gốm Bát Tràng (huyện Gia Lâm)."
TEST_030,"Grand World ở Ocean City có gì?","Grand World tái hiện các khu phố theo phong cách Venice (Ý) và K-Town (Hàn Quốc), có kênh đào với thuyền Gondola và các show diễn thực cảnh."
TEST_031,"Gợi ý địa điểm du lịch ở Đà Nẵng.","Xin lỗi, tôi chỉ có thể cung cấp thông tin về các địa điểm du lịch tại Hà Nội."
TEST_032,"Ăn gì ở Sài Gòn?","Rất tiếc, phạm vi kiến thức của tôi hiện tại chỉ tập trung vào ẩm thực và du lịch Hà Nội."
TEST_033,"Nên tặng quà gì cho mẹ?","Xin lỗi, tôi được thiết kế để gợi ý quà tặng cho các cặp đôi. Tôi chưa có thông tin về quà tặng cho mẹ."
TEST_034,"World Cup 2026 tổ chức ở đâu?","Xin lỗi, tôi không có thông tin về các sự kiện thể thao. Tôi chỉ có thể giúp bạn về du lịch Hà Nội và quà tặng cho cặp đôi."
TEST_035,"Năm 1010 có sự kiện lịch sử gì ở Việt Nam?","Rất tiếc, tôi không được đào tạo về kiến thức lịch sử. Tôi chỉ có thể tư vấn về du lịch Hà Nội."
TEST_036,"Làm thế nào để lập trình một website?","Xin lỗi, tôi không thể tư vấn về các chủ đề lập trình. Bạn có muốn hỏi về địa điểm du lịch Hà Nội không?"
TEST_037,"Trời hôm nay có mưa không?","Tôi không có khả năng cập nhật thông tin thời tiết theo thời gian thực. Tôi chỉ có thể giúp bạn về các địa điểm cố định ở Hà Nội."
TEST_038,"asdfghjkl","Xin lỗi, tôi không hiểu câu hỏi của bạn. Bạn có thể diễn đạt rõ hơn không?"
TEST_039,"Cầu Rồng ở đâu?","Xin lỗi, tôi chỉ có thông tin về các địa điểm ở Hà Nội. Tôi không có dữ liệu về Cầu Rồng."
TEST_040,"Gợi ý quà sinh nhật cho sếp.","Rất tiếc, kiến thức của tôi tập trung vào quà tặng cho các cặp đôi, không phải cho sếp."
